Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Lewis Dunk,Brighton & Hove Albion,England,"3,208"
2022,2,Rodri,Manchester City,Spain,"2,977"
2022,3,Virgil van Dijk,Liverpool,Netherlands,"2,581"
2022,4,Gabriel Magalhães,Arsenal,Brazil,"2,396"
2022,5,Trent Alexander-Arnold,Liverpool,England,"2,309"
2022,6,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,"2,256"
2022,7,Moisés Caicedo,-,Ecuador,"2,209"
2022,8,Marc Guéhi,Crystal Palace,England,"2,201"
2022,9,Maximilian Kilman,Wolverhampton Wanderers,England,"2,092"
2022,10,Declan Rice,-,England,"2,083"
2022,11,Rúben Dias,Manchester City,Portugal,"2,072"
2022,12,Kieran Trippier,Newcastle United,England,"2,064"
2022,13,Rúben Neves,-,Portugal,"2,034"
2022,14,Thiago Silva,Chelsea,Brazil,"2,031"
2022,15,Pascal Groß,Brighton & Hove Albion,Germany,"2,027"
2022,16,Manuel Akanji,Manchester City,Switzerland,"2,021"
2022,17,Eric Dier,Tottenham Hotspur,England,"1,978"
2022,18,Ben White,Arsenal,England,"1,951"
2022,19,Thomas Partey,Arsenal,Ghana,"1,946"
2022,20,Joachim Andersen,Crystal Palace,Denmark,"1,940"
2022,21,James Ward-Prowse,-,England,"1,920"
2022,22,Tim Ream,Fulham,United States,"1,902"
2022,23,Tyrone Mings,Aston Villa,England,"1,887"
2022,24,Ezri Konsa,Aston Villa,England,"1,872"
2022,25,William Saliba,Arsenal,France,"1,864"
2022,26,Bruno Fernandes,Manchester United,Portugal,"1,855"
2022,27,Wout Faes,-,Belgium,"1,842"
2022,28,Andy Robertson,Liverpool,Scotland,"1,834"
2022,29,Fabian Schär,Newcastle United,Switzerland,"1,815"
2022,29,Fabinho,-,Brazil,"1,815"
2022,31,Luke Shaw,Manchester United,England,"1,805"
2022,32,Alexis Mac Allister,-,Argentina,"1,803"
2022,33,Sven Botman,Newcastle United,Netherlands,"1,754"
2022,34,Kyle Walker,Manchester City,England,"1,729"
2022,35,Oleksandr Zinchenko,Arsenal,Ukraine,"1,716"
2022,36,Nathan Aké,Manchester City,Netherlands,"1,705"
2022,37,Douglas Luiz,Aston Villa,Brazil,"1,697"
2022,38,Martin Ødegaard,Arsenal,Norway,"1,689"
2022,39,Adam Webster,Brighton & Hove Albion,England,"1,676"
2022,40,Ben Mee,Brentford,England,"1,658"
2022,41,Bruno Guimarães,Newcastle United,Brazil,"1,632"
2022,42,Pervis Estupiñán,Brighton & Hove Albion,Ecuador,"1,621"
2022,43,James Tarkowski,Everton,England,"1,620"
2022,44,Jorginho,Arsenal,Italy,"1,610"
2022,45,Robin Koch,-,Germany,"1,589"
2022,46,Jefferson Lerma,-,Colombia,"1,587"
2022,47,Cristian Romero,Tottenham Hotspur,Argentina,"1,584"
2022,48,Granit Xhaka,-,Switzerland,"1,571"
2022,49,Youri Tielemans,-,Belgium,"1,556"
2022,50,Jordan Henderson,-,England,"1,545"
2022,51,Ilkay Gündogan,-,Germany,"1,540"
2022,52,Lisandro Martínez,Manchester United,Argentina,"1,518"
2022,53,John Stones,Manchester City,England,"1,511"
2022,54,Timothy Castagne,-,Belgium,"1,504"
2022,55,David Raya,-,Spain,"1,475"
2022,56,Antonee Robinson,Fulham,United States,"1,466"
2022,57,Kalidou Koulibaly,-,Senegal,"1,450"
2022,58,Dan Burn,Newcastle United,England,"1,438"
2022,58,Clément Lenglet,-,France,"1,438"
2022,60,Enzo Fernández,Chelsea,Argentina,"1,421"
2022,61,Bernardo Silva,Manchester City,Portugal,"1,418"
2022,62,Casemiro,Manchester United,Brazil,"1,412"
2022,63,Issa Diop,Fulham,France,"1,395"
2022,64,Alex Iwobi,-,Nigeria,"1,392"
2022,65,Christian Eriksen,Manchester United,Denmark,"1,391"
2022,66,Kevin De Bruyne,Manchester City,Belgium,"1,357"
2022,67,Tyler Adams,-,United States,"1,327"
2022,68,Joe Gomez,Liverpool,England,"1,321"
2022,69,Mateo Kovacic,-,Croatia,"1,309"
2022,70,Joël Veltman,Brighton & Hove Albion,Netherlands,"1,297"
2022,71,Marcos Senesi,Bournemouth,Argentina,"1,291"
2022,72,Tosin Adarabioyo,Fulham,England,"1,284"
2022,73,João Palhinha,Fulham,Portugal,"1,267"
2022,74,Emiliano Martínez,Aston Villa,Argentina,"1,248"
2022,75,Alisson Becker,Liverpool,Brazil,"1,239"
2022,75,Cheick Doucouré,Crystal Palace,Mali,"1,239"
2022,77,Bukayo Saka,Arsenal,England,"1,235"
2022,78,Joelinton,Newcastle United,Brazil,"1,230"
2022,79,Craig Dawson,Wolverhampton Wanderers,England,"1,224"
2022,80,Mathias Jensen,Brentford,Denmark,"1,217"
2022,80,Harrison Reed,Fulham,England,"1,217"
2022,82,Marc Roca,-,Spain,"1,211"
2022,83,Nélson Semedo,Wolverhampton Wanderers,Portugal,"1,209"
2022,83,Idrissa Gueye,Everton,Senegal,"1,209"
2022,85,Bernd Leno,Fulham,Germany,"1,205"
2022,86,Conor Coady,-,England,"1,200"
2022,87,Tyrick Mitchell,Crystal Palace,England,"1,198"
2022,88,Diogo Dalot,Manchester United,Portugal,"1,189"
2022,89,Ben Davies,Tottenham Hotspur,Wales,"1,182"
2022,90,Michael Olise,Crystal Palace,France,"1,158"
2022,91,Jordan Pickford,Everton,England,"1,156"
2022,92,Levi Colwill,Chelsea,England,"1,148"
2022,93,Trevoh Chalobah,Chelsea,England,"1,142"
2022,94,Ibrahima Konaté,Liverpool,France,"1,130"
2022,95,Nathan Collins,-,Ireland,"1,129"
2022,96,Sean Longstaff,Newcastle United,England,"1,125"
2022,96,Lucas Paquetá,West Ham United,Brazil,"1,125"
2022,98,Aaron Cresswell,West Ham United,England,"1,120"
2022,98,Mohamed Salah,Liverpool,Egypt,"1,120"
2022,100,Kenny Tete,Fulham,Netherlands,"1,114"
2021,1,João Cancelo,-,Portugal,"2,951"
2021,2,Aymeric Laporte,-,Spain,"2,920"
2021,3,Rodri,Manchester City,Spain,"2,865"
2021,4,Virgil van Dijk,Liverpool,Netherlands,"2,646"
2021,5,Thiago Silva,Chelsea,Brazil,"2,622"
2021,6,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,"2,531"
2021,7,Antonio Rüdiger,-,Germany,"2,497"
2021,8,Marc Guéhi,Crystal Palace,England,"2,346"
2021,9,Joachim Andersen,Crystal Palace,Denmark,"2,334"
2021,10,Eric Dier,Tottenham Hotspur,England,"2,325"
2021,11,Joël Matip,Liverpool,Cameroon,"2,319"
2021,12,Rúben Dias,Manchester City,Portugal,"2,267"
2021,13,Jordan Henderson,-,England,"2,157"
2021,14,Trent Alexander-Arnold,Liverpool,England,"2,155"
2021,15,Declan Rice,-,England,"2,153"
2021,16,Gabriel Magalhães,Arsenal,Brazil,"2,038"
2021,17,Lewis Dunk,Brighton & Hove Albion,England,"1,945"
2021,18,Rúben Neves,-,Portugal,"1,929"
2021,19,Andy Robertson,Liverpool,Scotland,"1,928"
2021,20,João Moutinho,-,Portugal,"1,920"
2021,20,Çaglar Söyüncü,-,Turkey,"1,920"
2021,22,Bruno Fernandes,Manchester United,Portugal,"1,901"
2021,22,Marc Cucurella,Brighton & Hove Albion,Spain,"1,901"
2021,24,Bernardo Silva,Manchester City,Portugal,"1,888"
2021,25,Jorginho,-,Italy,"1,883"
2021,26,James Ward-Prowse,Southampton,England,"1,827"
2021,27,Ben White,Arsenal,England,"1,810"
2021,28,Romain Saïss,-,Morocco,"1,781"
2021,29,Mohammed Salisu,-,Ghana,"1,741"
2021,30,Aaron Cresswell,West Ham United,England,"1,709"
2021,31,Youri Tielemans,-,Belgium,"1,708"
2021,32,Conor Coady,-,England,"1,687"
2021,33,Oriol Romeu,-,Spain,"1,673"
2021,34,Christian Nørgaard,Brentford,Denmark,"1,665"
2021,35,Tyrone Mings,Aston Villa,England,"1,659"
2021,36,César Azpilicueta,-,Spain,"1,605"
2021,37,Joël Veltman,Brighton & Hove Albion,Netherlands,"1,584"
2021,38,Ben Davies,Tottenham Hotspur,Wales,"1,582"
2021,39,Harry Maguire,Manchester United,England,"1,563"
2021,40,Martin Ødegaard,Arsenal,Norway,"1,559"
2021,41,Granit Xhaka,-,Switzerland,"1,543"
2021,42,Fabinho,-,Brazil,"1,542"
2021,43,Daniel Amartey,-,Ghana,"1,535"
2021,44,Maximilian Kilman,Wolverhampton Wanderers,England,"1,523"
2021,45,Kyle Walker,Manchester City,England,"1,499"
2021,46,Thiago Alcântara,Liverpool,Spain,"1,498"
2021,47,Tyrick Mitchell,Crystal Palace,England,"1,493"
2021,48,Pontus Jansson,-,Sweden,"1,489"
2021,49,Douglas Luiz,Aston Villa,Brazil,"1,452"
2021,50,Jan Bednarek,-,Poland,"1,445"
2021,50,Joel Ward,Crystal Palace,England,"1,445"
2021,52,Luke Ayling,-,England,"1,418"
2021,53,Ethan Pinnock,Brentford,Jamaica,"1,416"
2021,54,Reece James,Chelsea,England,"1,379"
2021,55,Victor Lindelöf,Manchester United,Sweden,"1,377"
2021,56,Ben Gibson,-,England,"1,366"
2021,57,Kevin De Bruyne,Manchester City,Belgium,"1,358"
2021,58,Diego Llorente,-,Spain,"1,357"
2021,59,Stuart Dallas,-,Northern Ireland,"1,352"
2021,60,Tomás Soucek,West Ham United,Czech Republic,"1,344"
2021,61,Fred,-,Brazil,"1,343"
2021,62,Robert Sánchez,-,Spain,"1,333"
2021,63,Andreas Christensen,-,Denmark,"1,321"
2021,64,Pablo Fornals,West Ham United,Spain,"1,316"
2021,64,Cristian Romero,Tottenham Hotspur,Argentina,"1,316"
2021,66,Grant Hanley,-,Scotland,"1,310"
2021,67,N'Golo Kanté,-,France,"1,292"
2021,68,Craig Dawson,West Ham United,England,"1,276"
2021,69,Trevoh Chalobah,Chelsea,England,"1,270"
2021,70,Ilkay Gündogan,-,Germany,"1,269"
2021,71,Pascal Struijk,-,Netherlands,"1,254"
2021,72,John McGinn,Aston Villa,Scotland,"1,242"
2021,73,Scott McTominay,Manchester United,Scotland,"1,233"
2021,74,Dan Burn,Newcastle United,England,"1,220"
2021,75,Matty Cash,Aston Villa,Poland,"1,219"
2021,76,Michael Keane,Everton,England,"1,211"
2021,77,Thomas Partey,Arsenal,Ghana,"1,205"
2021,78,Manuel Lanzini,-,Argentina,"1,202"
2021,79,Matt Targett,Newcastle United,England,"1,194"
2021,80,Mateo Kovacic,-,Croatia,"1,193"
2021,81,Yves Bissouma,Brighton & Hove Albion,Mali,"1,187"
2021,82,James Tarkowski,Burnley,England,"1,180"
2021,83,Alisson Becker,Liverpool,Brazil,"1,177"
2021,84,Liam Cooper,-,Scotland,"1,175"
2021,85,Adam Webster,Brighton & Hove Albion,England,"1,152"
2021,86,Raphaël Varane,Manchester United,France,"1,151"
2021,87,Kiernan Dewsbury-Hall,-,England,"1,148"
2021,88,Moussa Sissoko,-,France,"1,144"
2021,89,Billy Gilmour,Norwich City,Scotland,"1,136"
2021,89,Emerson Royal,Tottenham Hotspur,Brazil,"1,136"
2021,91,Marcos Alonso,-,Spain,"1,135"
2021,92,Davinson Sánchez,-,Colombia,"1,126"
2021,93,Josh Brownhill,Burnley,England,"1,124"
2021,94,Kasper Schmeichel,-,Denmark,"1,123"
2021,95,Leandro Trossard,Brighton & Hove Albion,Belgium,"1,120"
2021,96,Illan Meslier,-,France,"1,115"
2021,96,Mason Mount,-,England,"1,115"
2021,98,Ashley Westwood,-,England,"1,113"
2021,99,Pascal Groß,Brighton & Hove Albion,Germany,"1,111"
2021,100,Lucas Digne,Aston Villa,France,"1,109"
2020,1,Rodri,Manchester City,Spain,"2,785"
2020,2,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,"2,765"
2020,3,Rúben Dias,Manchester City,Portugal,"2,713"
2020,4,Andy Robertson,Liverpool,Scotland,"2,680"
2020,5,Youri Tielemans,-,Belgium,"2,482"
2020,6,James Ward-Prowse,-,England,"2,434"
2020,7,Trent Alexander-Arnold,Liverpool,England,"2,381"
2020,7,Luke Ayling,-,England,"2,381"
2020,9,Harry Maguire,Manchester United,England,"2,227"
2020,10,Lewis Dunk,Brighton & Hove Albion,England,"2,223"
2020,11,Granit Xhaka,-,Switzerland,"2,189"
2020,12,Bruno Fernandes,Manchester United,Portugal,"2,111"
2020,13,Fabinho,-,Brazil,"2,108"
2020,14,Jan Bednarek,-,Poland,"2,068"
2020,15,Ashley Westwood,-,England,"2,044"
2020,16,Rúben Neves,-,Portugal,"1,979"
2020,17,Stuart Dallas,-,Northern Ireland,"1,961"
2020,18,Joachim Andersen,Fulham,Denmark,"1,958"
2020,19,Thiago Silva,Chelsea,Brazil,"1,940"
2020,20,Michael Keane,Everton,England,"1,939"
2020,21,Tosin Adarabioyo,Fulham,England,"1,905"
2020,22,César Azpilicueta,-,Spain,"1,887"
2020,23,Victor Lindelöf,Manchester United,Sweden,"1,866"
2020,24,Conor Coady,-,England,"1,857"
2020,25,João Cancelo,-,Portugal,"1,854"
2020,26,Jonny Evans,-,Northern Ireland,"1,850"
2020,27,Adam Webster,Brighton & Hove Albion,England,"1,838"
2020,28,Jordan Henderson,-,England,"1,815"
2020,29,Fred,-,Brazil,"1,806"
2020,30,Aaron Wan-Bissaka,Manchester United,England,"1,805"
2020,31,Rob Holding,-,England,"1,802"
2020,32,Eric Dier,Tottenham Hotspur,England,"1,789"
2020,33,Jorginho,-,Italy,"1,783"
2020,34,Kurt Zouma,-,France,"1,775"
2020,35,Jannik Vestergaard,-,Denmark,"1,763"
2020,36,Mateo Kovacic,-,Croatia,"1,762"
2020,37,Georginio Wijnaldum,-,Netherlands,"1,757"
2020,38,Ben White,-,England,"1,747"
2020,39,Kyle Walker,Manchester City,England,"1,733"
2020,40,John Stones,Manchester City,England,"1,727"
2020,41,João Moutinho,-,Portugal,"1,721"
2020,42,Thiago Alcântara,Liverpool,Spain,"1,720"
2020,43,Ilkay Gündogan,-,Germany,"1,714"
2020,44,Mason Mount,-,England,"1,702"
2020,45,Reece James,Chelsea,England,"1,696"
2020,46,Wesley Fofana,-,France,"1,688"
2020,47,Yves Bissouma,Brighton & Hove Albion,Mali,"1,685"
2020,48,Matt Targett,-,England,"1,684"
2020,49,Tyrone Mings,Aston Villa,England,"1,679"
2020,50,Aaron Cresswell,West Ham United,England,"1,652"
2020,51,Liam Cooper,-,Scotland,"1,650"
2020,52,Luke Shaw,Manchester United,England,"1,609"
2020,53,Tomás Soucek,West Ham United,Czech Republic,"1,607"
2020,54,Nélson Semedo,Wolverhampton Wanderers,Portugal,"1,567"
2020,55,Gabriel Magalhães,Arsenal,Brazil,"1,550"
2020,56,N'Golo Kanté,-,France,"1,529"
2020,57,Declan Rice,-,England,"1,526"
2020,58,Antonio Rüdiger,-,Germany,"1,523"
2020,59,Harrison Reed,Fulham,England,"1,477"
2020,60,Ben Chilwell,Chelsea,England,"1,469"
2020,61,Mateusz Klich,-,Poland,"1,467"
2020,62,Ola Aina,Fulham,Nigeria,"1,462"
2020,63,Toby Alderweireld,-,Belgium,"1,437"
2020,64,Wilfred Ndidi,-,Nigeria,"1,432"
2020,65,Romain Saïss,-,Morocco,"1,428"
2020,66,Pascal Groß,Brighton & Hove Albion,Germany,"1,424"
2020,67,Frank Anguissa,-,Cameroon,"1,416"
2020,68,Douglas Luiz,Aston Villa,Brazil,"1,415"
2020,69,Oliver Norwood,Sheffield United,Northern Ireland,"1,405"
2020,70,Kalvin Phillips,-,England,"1,404"
2020,71,Jonjo Shelvey,-,England,"1,401"
2020,72,Çaglar Söyüncü,-,Turkey,"1,381"
2020,73,Ezgjan Alioski,-,North Macedonia,"1,377"
2020,74,Bernardo Silva,Manchester City,Portugal,"1,372"
2020,75,Oleksandr Zinchenko,-,Ukraine,"1,368"
2020,76,John McGinn,Aston Villa,Scotland,"1,367"
2020,77,Abdoulaye Doucouré,Everton,Mali,"1,341"
2020,78,Paul Pogba,-,France,"1,333"
2020,79,Timothy Castagne,-,Belgium,"1,325"
2020,80,Kyle Walker-Peters,-,England,"1,323"
2020,81,Roberto Firmino,-,Brazil,"1,301"
2020,82,Scott McTominay,Manchester United,Scotland,"1,298"
2020,83,Pascal Struijk,-,Netherlands,"1,296"
2020,84,Luka Milivojevic,-,Serbia,"1,294"
2020,85,Ezri Konsa,Aston Villa,England,"1,287"
2020,86,Vladimír Coufal,West Ham United,Czech Republic,"1,279"
2020,86,Cheikhou Kouyaté,-,Senegal,"1,279"
2020,88,Oriol Romeu,-,Spain,"1,275"
2020,89,Aymeric Laporte,-,Spain,"1,274"
2020,90,Dani Ceballos,-,Spain,"1,272"
2020,91,Lucas Digne,-,France,"1,266"
2020,92,Kevin De Bruyne,Manchester City,Belgium,"1,265"
2020,93,Mohamed Salah,Liverpool,Egypt,"1,263"
2020,94,James Tarkowski,Burnley,England,"1,259"
2020,95,Yerry Mina,-,Colombia,"1,257"
2020,96,Joël Veltman,Brighton & Hove Albion,Netherlands,"1,249"
2020,97,Stuart Armstrong,-,Scotland,"1,236"
2020,98,Ben Godfrey,Everton,England,"1,219"
2020,99,Leander Dendoncker,-,Belgium,"1,203"
2020,100,Sergio Reguilón,Tottenham Hotspur,Spain,"1,200"
2019,1,Virgil van Dijk,Liverpool,Netherlands,"3,259"
2019,2,Rodri,Manchester City,Spain,"2,579"
2019,3,Harry Maguire,Manchester United,England,"2,519"
2019,4,Andy Robertson,Liverpool,Scotland,"2,492"
2019,5,Jonny Evans,-,Northern Ireland,"2,491"
2019,6,Trent Alexander-Arnold,Liverpool,England,"2,440"
2019,7,César Azpilicueta,-,Spain,"2,435"
2019,8,Çaglar Söyüncü,-,Turkey,"2,319"
2019,9,Jorginho,-,Italy,"2,257"
2019,10,Lewis Dunk,Brighton & Hove Albion,England,"2,251"
2019,11,Fernandinho,-,Brazil,"2,222"
2019,12,Victor Lindelöf,Manchester United,Sweden,"2,094"
2019,13,Kurt Zouma,-,France,"2,080"
2019,14,Rúben Neves,-,Portugal,"2,023"
2019,15,Oliver Norwood,Sheffield United,Northern Ireland,"2,007"
2019,16,Joe Gomez,Liverpool,England,"1,988"
2019,17,Toby Alderweireld,-,Belgium,"1,978"
2019,18,Ilkay Gündogan,-,Germany,"1,953"
2019,19,Kyle Walker,Manchester City,England,"1,939"
2019,20,Kevin De Bruyne,Manchester City,Belgium,"1,907"
2019,21,Granit Xhaka,-,Switzerland,"1,903"
2019,22,Adam Webster,Brighton & Hove Albion,England,"1,880"
2019,23,Mateo Kovacic,-,Croatia,"1,868"
2019,24,Jordan Henderson,-,England,"1,856"
2019,25,Conor Coady,-,England,"1,849"
2019,26,João Moutinho,-,Portugal,"1,839"
2019,27,Pierre-Emile Højbjerg,-,Denmark,"1,823"
2019,28,David Luiz,-,Brazil,"1,799"
2019,29,Davy Pröpper,-,Netherlands,"1,784"
2019,30,Youri Tielemans,-,Belgium,"1,780"
2019,31,Ashley Westwood,-,England,"1,741"
2019,32,Declan Rice,-,England,"1,733"
2019,33,Harry Winks,-,England,"1,694"
2019,34,Kenny McLean,-,Scotland,"1,680"
2019,35,Abdoulaye Doucouré,-,Mali,"1,678"
2019,36,Dale Stephens,-,England,"1,675"
2019,37,Wilfred Ndidi,-,Nigeria,"1,669"
2019,38,Fred,-,Brazil,"1,668"
2019,39,James Ward-Prowse,-,England,"1,666"
2019,40,Ben Godfrey,-,England,"1,660"
2019,41,Ben Chilwell,-,England,"1,654"
2019,42,Aaron Wan-Bissaka,Manchester United,England,"1,651"
2019,43,Romain Saïss,-,Morocco,"1,628"
2019,44,Georginio Wijnaldum,-,Netherlands,"1,625"
2019,45,Fabinho,-,Brazil,"1,578"
2019,46,Ricardo Pereira,-,Portugal,"1,572"
2019,47,Dan Burn,-,England,"1,569"
2019,48,Jack O'Connell,-,England,"1,557"
2019,49,Davinson Sánchez,-,Colombia,"1,544"
2019,50,Jan Bednarek,-,Poland,"1,537"
2019,51,Nicolás Otamendi,-,Argentina,"1,533"
2019,52,Mark Noble,-,England,"1,504"
2019,53,Antonio Rüdiger,-,Germany,"1,492"
2019,54,David Silva,-,Spain,"1,483"
2019,55,Matt Doherty,-,Ireland,"1,476"
2019,56,James Maddison,-,England,"1,473"
2019,57,Enda Stevens,-,Ireland,"1,469"
2019,58,Michael Keane,Everton,England,"1,447"
2019,59,Willian,-,Brazil,"1,436"
2019,60,Étienne Capoue,-,France,"1,434"
2019,61,Luka Milivojevic,-,Serbia,"1,433"
2019,62,James McArthur,-,Scotland,"1,428"
2019,63,Emiliano Buendía,-,Argentina,"1,407"
2019,64,Jefferson Lerma,-,Colombia,"1,398"
2019,65,Tyrone Mings,Aston Villa,England,"1,384"
2019,66,Tim Krul,-,Netherlands,"1,382"
2019,67,Lucas Digne,-,France,"1,374"
2019,67,Bernardo Silva,Manchester City,Portugal,"1,374"
2019,69,Jack Grealish,-,England,"1,371"
2019,70,Yerry Mina,-,Colombia,"1,361"
2019,71,James Tarkowski,Burnley,England,"1,350"
2019,72,Max Aarons,-,England,"1,339"
2019,73,Leander Dendoncker,-,Belgium,"1,323"
2019,74,Chris Basham,Sheffield United,England,"1,316"
2019,75,Andreas Christensen,-,Denmark,"1,307"
2019,76,Alexander Tettey,-,Norway,"1,293"
2019,77,John Egan,Sheffield United,Ireland,"1,290"
2019,78,Sèrge Aurier,-,Cote D’Ivoire,"1,281"
2019,79,Jack Stephens,-,England,"1,276"
2019,80,Steve Cook,-,England,"1,271"
2019,81,Nemanja Matic,-,Serbia,"1,265"
2019,82,Ben Mee,Burnley,England,"1,257"
2019,83,Dani Ceballos,-,Spain,"1,251"
2019,83,Aaron Cresswell,West Ham United,England,"1,251"
2019,85,Moussa Sissoko,-,France,"1,246"
2019,86,Mason Mount,-,England,"1,241"
2019,87,Ryan Bertrand,-,England,"1,229"
2019,88,Mathew Ryan,-,Australia,"1,220"
2019,89,Patrick van Aanholt,-,Netherlands,"1,216"
2019,90,Nathan Aké,-,Netherlands,"1,210"
2019,90,Oleksandr Zinchenko,-,Ukraine,"1,210"
2019,92,Douglas Luiz,Aston Villa,Brazil,"1,208"
2019,93,Jordan Pickford,Everton,England,"1,184"
2019,94,John Lundstram,-,England,"1,176"
2019,95,Raheem Sterling,-,England,"1,168"
2019,96,Roberto Firmino,-,Brazil,"1,161"
2019,97,Philip Billing,Bournemouth,Denmark,"1,154"
2019,98,Mattéo Guendouzi,-,France,"1,152"
2019,99,Fikayo Tomori,-,England,"1,151"
2019,100,Aymeric Laporte,-,Spain,"1,148"
2018,1,Jorginho,-,Italy,"3,118"
2018,2,Virgil van Dijk,Liverpool,Netherlands,"3,037"
2018,3,Aymeric Laporte,-,Spain,"2,998"
2018,4,David Luiz,-,Brazil,"2,620"
2018,5,Antonio Rüdiger,-,Germany,"2,537"
2018,6,César Azpilicueta,-,Spain,"2,483"
2018,7,Andy Robertson,Liverpool,Scotland,"2,396"
2018,8,Kyle Walker,Manchester City,England,"2,389"
2018,9,Toby Alderweireld,-,Belgium,"2,358"
2018,10,Granit Xhaka,-,Switzerland,"2,245"
2018,11,Paul Pogba,-,France,"2,068"
2018,12,Fernandinho,-,Brazil,"2,050"
2018,13,N'Golo Kanté,-,France,"2,021"
2018,14,David Silva,-,Spain,"2,015"
2018,15,Ilkay Gündogan,-,Germany,"1,994"
2018,16,Luka Milivojevic,-,Serbia,"1,986"
2018,17,Wilfred Ndidi,-,Nigeria,"1,984"
2018,18,Abdoulaye Doucouré,-,Mali,"1,942"
2018,19,Rúben Neves,-,Portugal,"1,940"
2018,20,Marcos Alonso,-,Spain,"1,881"
2018,21,Christian Eriksen,-,Denmark,"1,872"
2018,22,João Moutinho,-,Portugal,"1,863"
2018,23,Nemanja Matic,-,Serbia,"1,836"
2018,24,Eden Hazard,-,Belgium,"1,819"
2018,25,Pierre-Emile Højbjerg,-,Denmark,"1,793"
2018,26,Georginio Wijnaldum,-,Netherlands,"1,769"
2018,27,Shkodran Mustafi,-,Germany,"1,765"
2018,28,John Stones,Manchester City,England,"1,751"
2018,29,Étienne Capoue,-,France,"1,749"
2018,30,Harry Maguire,-,England,"1,747"
2018,31,Jordan Henderson,-,England,"1,740"
2018,32,Idrissa Gueye,-,Senegal,"1,739"
2018,33,Willy-Arnaud Boly,-,Cote D’Ivoire,"1,715"
2018,34,Bernardo Silva,Manchester City,Portugal,"1,706"
2018,35,Trent Alexander-Arnold,Liverpool,England,"1,697"
2018,36,Nathan Aké,-,Netherlands,"1,696"
2018,37,Conor Coady,-,England,"1,688"
2018,38,Ben Chilwell,-,England,"1,684"
2018,39,Felipe Anderson,-,Brazil,"1,667"
2018,40,Luke Shaw,Manchester United,England,"1,658"
2018,41,Fabinho,-,Brazil,"1,610"
2018,41,Patrick van Aanholt,-,Netherlands,"1,610"
2018,43,Mattéo Guendouzi,-,France,"1,598"
2018,44,Michael Keane,Everton,England,"1,592"
2018,44,Jean Seri,-,Cote D’Ivoire,"1,592"
2018,46,Lucas Torreira,-,Uruguay,"1,590"
2018,47,Jefferson Lerma,-,Colombia,"1,561"
2018,48,Christopher Schindler,-,Germany,"1,551"
2018,49,Jonathan Hogg,-,England,"1,546"
2018,50,Kieran Trippier,-,England,"1,542"
2018,51,Ricardo Pereira,-,Portugal,"1,532"
2018,52,Jan Vertonghen,-,Belgium,"1,531"
2018,53,Declan Rice,-,England,"1,518"
2018,54,Mark Noble,-,England,"1,507"
2018,55,Ben Mee,Burnley,England,"1,502"
2018,56,Steve Cook,-,England,"1,501"
2018,57,Lewis Dunk,Brighton & Hove Albion,England,"1,490"
2018,57,Victor Lindelöf,Manchester United,Sweden,"1,490"
2018,59,Calum Chambers,-,England,"1,484"
2018,60,Mateo Kovacic,-,Croatia,"1,468"
2018,61,Lucas Digne,-,France,"1,457"
2018,62,Kurt Zouma,-,France,"1,442"
2018,63,Davinson Sánchez,-,Colombia,"1,440"
2018,64,Ashley Westwood,-,England,"1,419"
2018,65,James Maddison,-,England,"1,404"
2018,66,James Milner,-,England,"1,401"
2018,67,James McArthur,-,Scotland,"1,400"
2018,68,Matt Doherty,-,Ireland,"1,399"
2018,69,Harry Winks,-,England,"1,388"
2018,70,Sokratis Papastathopoulos,-,Greece,"1,387"
2018,71,Maxime Le Marchand,-,France,"1,386"
2018,72,Ashley Young,-,England,"1,376"
2018,73,Tom Cairney,Fulham,Scotland,"1,373"
2018,74,Dale Stephens,-,England,"1,353"
2018,75,Moussa Sissoko,-,France,"1,348"
2018,76,Ryan Bennett,-,England,"1,346"
2018,77,Joël Matip,Liverpool,Cameroon,"1,341"
2018,78,Denis Odoi,-,Ghana,"1,332"
2018,79,Jack Cork,Burnley,England,"1,329"
2018,80,Mamadou Sakho,-,France,"1,321"
2018,81,Shane Duffy,-,Ireland,"1,305"
2018,82,Craig Cathcart,-,Northern Ireland,"1,280"
2018,83,Roberto Firmino,-,Brazil,"1,279"
2018,84,Aaron Mooy,-,Australia,"1,278"
2018,85,Raheem Sterling,-,England,"1,263"
2018,86,Nicolás Otamendi,-,Argentina,"1,245"
2018,87,Willian,-,Brazil,"1,230"
2018,88,Vincent Kompany,-,Belgium,"1,227"
2018,89,Davy Pröpper,-,Netherlands,"1,213"
2018,90,André Gomes,-,Portugal,"1,200"
2018,91,Ryan Fraser,-,Scotland,"1,195"
2018,92,Séamus Coleman,Everton,Ireland,"1,194"
2018,93,Sadio Mané,-,Senegal,"1,184"
2018,93,Oleksandr Zinchenko,-,Ukraine,"1,184"
2018,95,Charlie Taylor,Burnley,England,"1,175"
2018,96,Zanka,Huddersfield Town,Denmark,"1,173"
2018,97,Nacho Monreal,-,Spain,"1,168"
2018,98,Aaron Wan-Bissaka,-,England,"1,165"
2018,99,Ben Foster,-,England,"1,151"
2018,100,Terence Kongolo,-,Netherlands,"1,149"
